usr,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap
86,1,0,2143,203,100,0.45300844329575946,1.179414727997589,32732,45193,-6.932039654337988,143,1129075
88,1,-1,2122,208,96,0.4072472063179798,1.1710831100872179,45359,44201,3.5007021420472597,139,1124292
88,1,0,2165,205,101,0.4,1.2,43107,44139,3.0,130,1131931
87,2,0,2197,208,102,0.44601736463805897,1.0703791029655056,45822,48622,1.3748857025636119,116,1144616
87,0,0,2139,200,103,0.4063997402207001,1.2301862067381604,43593,43701,0.48985696241341437,131,1129537
87,0,0,2199,203,97,0.46721427514818925,1.2646346432846751,41408,45333,2.1093516442955518,134,1140617
85,60,76,3799,258,164,1.3360319706090977,1.5048689956032062,493048,273954,3.941105635402897,268,1316337
84,60,76,3838,254,167,1.3742484366219228,1.3284600645521345,486312,271737,7.238167044114077,266,1322561
84,61,76,3841,258,166,1.388555478531449,1.4000121545373378,492847,267903,3.97110786088526,269,1315746
85,62,77,3806,258,166,1.4,1.4,492142,268706,5.2,256,1314590
84,61,76,3769,257,171,1.3734413065912154,1.3305719977496095,480339,268325,9.23488313783434,245,1315951
85,62,78,3855,255,164,1.400282479814151,1.5489287164329724,488097,270934,10.862008057904424,245,1320574
78,42,53,3967,247,243,2.6394741619749986,4.619880479578513,193046,533298,1.467304643379324,315,1009810
78,41,55,3977,249,240,2.7170605340894816,4.869098786147519,193652,529763,1.2776891829130403,323,1015164
79,42,55,3959,248,244,2.6298394176214352,4.619451064080428,202181,530276,-2.984537962127694,297,1015470
78,43,55,3924,251,244,2.632935626860781,4.706810718040921,189695,525760,8.237021439495036,336,1024813
78,43,55,3978,250,246,2.622062906785639,4.627571657029914,199914,527815,2.120686569682788,324,1008214
79,42,55,3991,254,242,2.6535703593244127,4.639475885920397,196065,528735,2.286027941449203,340,1019407
90,6,2,1708,132,85,0.3829560288252267,1.8861718720165277,225697,101872,0.9765518418827328,2270,1014003
92,5,0,1697,133,89,0.43971948520238874,1.8842149835289974,218993,108194,-3.510710459961259,2274,1005702
92,5,0,1721,128,88,0.41250983968707494,1.7881310374480108,214285,107585,4.51445191065039,2291,1015755
92,6,1,1696,126,87,0.4546308592811685,1.7958023263631886,223741,102112,2.723346997703602,2310,1008871
92,6,0,1704,129,89,0.426761381293229,1.7289547359214932,218993,107855,0.925641271542957,2289,1007143
92,5,1,1692,132,87,0.4,1.8,220194,107031,2.2,2291,1010703
86,158,39,2460,296,262,1.0775286214360618,0.8304617089642257,240308,212999,-2.085141665158077,560,1065457
87,160,39,2409,295,259,0.9410715071512288,1.0823375281151284,237737,214230,-0.5314982115327616,538,1070189
86,158,40,2470,301,257,0.9874009931639216,1.0219412311523928,244458,210935,-0.735135051486528,535,1072276
87,157,40,2413,292,262,0.9733479720776617,0.8631131295125727,231873,207197,-0.3351450704890597,545,1070608
87,157,39,2459,303,261,1.054855481477725,1.0882607194426976,237069,210916,6.3127057669103515,551,1076360
86,157,39,2375,297,259,0.9976737686151705,1.0092631173609437,234978,210063,2.408004486636341,545,1068144
85,1,1,3338,269,168,0.9893372807204373,3.2589090665674374,388406,125568,3.4892072990385756,575,1111302
85,1,0,3354,269,169,1.0271963724920952,3.2201755823322085,402262,130763,2.864210296202938,573,1113420
85,0,0,3315,274,168,1.0490795939046376,3.251960043049281,397446,126964,-1.9940869411446385,601,1125217
85,2,0,3295,270,168,0.9848539900768486,3.0323005789444575,402048,123743,-0.29260680830069385,568,1132562
85,1,0,3331,273,173,0.8761122548419517,3.2228234084597376,403005,129253,2.9027495316358616,585,1127735
86,0,0,3291,275,169,1.0830394874108915,3.2357381761939843,405654,129920,4.07386364457617,570,1127526
87,8,3,1652,104,98,1.22189377414737,1.0439339824972436,253643,110847,3.0177551907467994,626,1064052
86,8,2,1657,103,104,1.2412296315774736,1.2225636000822548,261719,106234,2.653450729750938,623,1072388
87,9,3,1626,106,100,1.2,1.2,261018,111663,1.0,615,1073621
87,10,2,1630,111,103,1.2156552449784186,1.1097601493591362,271701,112057,3.3182293199246566,627,1071067
87,8,4,1591,103,103,1.2337609489627117,1.1324368969175402,262241,106801,3.085865779000597,617,1075901
87,11,3,1655,106,103,1.1977168815380996,1.2275745165313066,263158,111207,0.7028302872981367,615,1080092
93,9,1,1682,75,114,0.37602873638145917,0.27751113002762806,73784,95578,3.7001060144009243,641,1060844
93,10,2,1681,72,114,0.40976122242191054,0.18888496188327597,83592,93568,2.224004078750381,607,1065213
92,11,0,1704,71,113,0.37709222347997673,0.34067802006237446,80824,91368,5.963562850869623,625,1065418
93,11,2,1687,76,115,0.4,0.4,76103,93789,1.0,631,1068366
93,11,2,1687,76,115,0.4,0.4,76103,93789,1.0,631,1068366
93,11,2,1687,76,115,0.4,0.4,76103,93789,1.0,631,1068366
84,2,1,5402,406,274,0.2,0.2,22609,155154,2.5,152,1015040
84,1,0,5404,408,273,0.3107588924344857,0.2812047244317449,25702,158435,2.381070107998137,154,1015262
83,0,1,5399,399,275,0.21081886376914974,0.06059115511158342,16804,155791,-1.6226930204450598,160,1012064
84,1,0,5390,404,271,0.2740038041477705,0.30315766028559804,23741,152417,-0.013717930456993876,168,1004403
83,1,0,5356,410,272,0.154175437175915,0.08319758480400186,28194,154945,0.9546945746301931,141,1013751
84,0,2,5379,406,270,0.21699423154519645,0.34425974850883356,22360,156184,-3.0285921582796655,165,1010928
91,5,2,2024,123,112,0.621006789641362,0.5811220493336525,36852,59293,-2.062438361984818,1179,1116323
92,6,2,2040,121,112,0.6,0.6,38688,60507,1.0,1201,1111232
92,6,2,2040,121,112,0.6,0.6,38688,60507,1.0,1201,1111232
92,5,0,2015,120,114,0.5504340597816336,0.42272296307628765,51996,59043,2.491170343321002,1198,1116552
92,7,1,1992,121,109,0.57272188053074,0.5584343707437978,32992,62304,5.3180260081508735,1189,1114278
92,6,2,2040,121,112,0.6,0.6,38688,60507,1.0,1201,1111232
0,172,114,1434,170,130,0.608633066898467,3.4602341012365523,259286,102538,736.7610162543382,65,10986
0,172,112,1426,175,133,0.6402337026469408,3.3094916953730102,269024,101538,742.6238336647706,90,2765
0,171,113,1444,171,133,0.5654384672749359,3.2847415252989407,261615,102967,747.1566683107658,101,-3781
0,172,113,1427,171,134,0.6,3.39,261636,103649,744.0,92,8
0,172,113,1427,171,134,0.6,3.39,261636,103649,744.0,92,8
0,172,113,1427,171,134,0.6,3.39,261636,103649,744.0,92,8
89,12,12,2890,468,219,0.6131726393237681,2.0628631481148902,653848,579105,-2.932730461178288,198,1031630
90,14,11,2894,455,213,0.6195400058652223,2.1212586519156478,656900,582988,-0.7115716616906971,185,1043743
