usr,lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap
80,9,1,3297,501,364,4.215744604170642,2.7508625755117624,818814,224443,1.9418486698937385,751,1111967
81,8,0,3285,507,361,4.176254109038993,2.73906958644172,829116,223949,2.0029315726235937,750,1111179
81,8,2,3309,503,365,4.17,2.78,827279,223918,2.0,747,1112439
80,10,2,3326,507,366,4.209711525173434,2.5965280935322177,829494,226152,1.9904850804809913,742,1114531
80,7,2,3294,497,367,4.175522772694105,2.8227270681347547,827675,223699,1.9853033051142845,747,1112044
80,6,1,3327,500,362,4.228003786191483,2.8714871097069214,825893,224513,1.9947853222154075,748,1113871
76,5,0,2315,207,92,0.5447976208669962,1.3484368261049875,1132966,35932,2.7926292700882818,102,984712
75,5,0,2336,203,95,0.5777772181134851,1.0987387940872757,1127470,34827,2.8119333116579144,101,985738
75,6,0,2337,207,94,0.5901237412013727,1.2000172041406025,1132802,32917,2.792804930816457,102,984614
76,7,1,2319,207,94,0.6,1.2,1132227,33317,2.8,98,984424
75,6,0,2298,206,98,0.5770806905138547,1.1017281300580817,1122598,33127,2.8236239311817397,94,984648
76,7,2,2345,204,93,0.6002437711142062,1.4108011605913027,1128927,34427,2.833150622741997,94,985410
68,234,87,3269,481,286,6.424064948944814,17.198139826009637,1020195,224345,4.188684216979682,419,1088160
68,233,88,3274,483,284,6.49101952562632,17.550895892963254,1020690,222584,4.187574033007549,422,1089043
69,234,88,3264,482,287,6.4157504703573185,17.197532009817163,1027648,222840,4.162619020107367,413,1089093
68,235,88,3245,485,287,6.418422400662705,17.321185237245704,1017461,220590,4.228320389391144,426,1090634
68,235,88,3274,484,288,6.409039588318632,17.20902630359369,1025798,221614,4.192509718025214,422,1087897
69,235,88,3282,489,285,6.436229519869156,17.22587614508942,1022659,222072,4.1934777790705215,428,1089742
69,8,2,2500,255,121,1.7852915938214655,1.7219719814048402,1437550,34660,2.4928368049074896,95,1092158
70,8,0,2494,256,124,1.8342766551039298,1.719202103478008,1432081,37810,2.4665642284308196,96,1090789
70,7,0,2507,250,123,1.8107955946099104,1.583200076245201,1428240,37507,2.5135509383525783,102,1092447
70,8,1,2494,249,123,1.847144697673456,1.5940584025994637,1435955,34780,2.503064156515957,108,1091312
71,28,65,2809,644,179,2.608196774641858,2.4721767618270754,1437392,38928,3.6340830729091027,119,1123340
72,54,91,2664,385,162,2.45862421051926,2.2572684742470273,1477279,41744,3.247131704208857,389,1108572
77,72,100,4600,833,204,2.794795197039383,4.231093637369791,1372456,54414,1.020493949220607,418,1016622
78,73,100,4599,826,204,2.7492290105412747,3.8067478742370424,1383222,53604,1.0276015440881998,420,1015014
78,75,100,4615,834,207,2.7145377018421026,3.9508203998846794,1380640,55723,1.008575196552118,420,1014814
78,73,99,4618,827,202,2.795380101335803,3.9071191975807666,1373852,51756,0.9869933192548098,420,1015506
78,74,100,4606,831,206,2.79,3.99,1379703,54436,1.0,425,1014860
75,119,155,6393,1171,220,3.340112285761091,5.790921167497706,1391774,67341,2.4778224842282714,617,1048788
77,18,13,2293,343,164,5.600603796287705,17.092686201618164,945188,22935,2.971085850347717,706,1100087
77,19,11,2296,339,165,5.5723958770629425,16.98983683004535,947237,23464,2.990006351396759,692,1100392
