Rings,Sex,Length,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight
19,F,0.5492580894347017,0.4405763174998353,0.1497181922090168,0.8981736017753249,0.3117192868162314,0.14921795534294463,0.3287751002380319
19,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32
19,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32
19,F,0.5480672012289393,0.4402753903588758,0.15026449185980634,0.907809807593678,0.31477916704441117,0.1512746433414547,0.32028785421314737
19,F,0.5491782224330205,0.43959289130098717,0.15005453314106584,0.9069533528377791,0.31796821283591087,0.1516185248667222,0.32765832605025835
19,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32
18,F,0.5479060894592062,0.4405726545602853,0.1496261908458466,0.9026173789784351,0.3171972312863446,0.15130745241401133,0.3197603343443246
20,M,0.6248106239413251,0.49673868916500263,0.1706752638852441,1.3336224542311537,0.5107885078789771,0.24162681574000813,0.46572161154958625
20,M,0.5950897949000081,0.4747990763172374,0.1700672671334277,1.2433788682671405,0.48247421601827584,0.22203575775039908,0.4307231482565319
20,M,0.5950381701732422,0.47552133072705743,0.16918522513102058,1.237297953465045,0.4792073606070824,0.22619403279601305,0.4204577071291239
20,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425
20,F,0.5938177249685074,0.4756730397384849,0.17053736287403315,1.2436918318564611,0.48168781042971937,0.22892134975538253,0.4258581695391615
20,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425
20,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425
20,F,0.5951871861979784,0.4732656538585652,0.15981797072832435,1.3315650995670698,0.41031606712506047,0.23256799286785929,0.5822354209090769
20,F,0.5962074305740506,0.47575566390482743,0.1600763080450274,1.3249583432627368,0.41288371428153126,0.2346430203577701,0.5868433458796285
20,F,0.5942291489856826,0.4752921751692061,0.1604372472649737,1.3155721301847747,0.4105556803812598,0.23432926306488847,0.5790088823028275
20,M,0.595,0.475,0.16388367958209854,1.3747934667807442,0.40819328550565026,0.24277395776898064,0.6199019729738013
21,M,0.601283911370817,0.48504494373888196,0.17165226476844805,1.3487346534512197,0.5011094853138607,0.25441796707559733,0.5891577840110932
21,M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58
20,F,0.5957882003514579,0.47460421384413354,0.15963872640959387,1.3287356260557017,0.40866988241646407,0.23474111417204563,0.5837448614276669
19,F,0.7021281834423745,0.5351943994002376,0.15914297174621225,1.723723509584983,0.6269140235893493,0.26040872645578683,0.5416025743875228
19,F,0.7134256363814788,0.5471245298688596,0.18922833022819424,1.8024174364042296,0.6324272554378259,0.3675971767832792,0.6269114230745781
19,M,0.6995964217568175,0.53706384967879,0.15977340911086027,1.7168603607705037,0.6282470927443348,0.2617952311914153,0.5438186437721404
19,M,0.7112776958991257,0.5572742133559123,0.19758947218305262,1.7605423426793048,0.6341428095527459,0.33097022629575507,0.5987248574917191
19,F,0.7082473290740869,0.5652894675959232,0.16510318403482047,1.805579435426574,0.6341141053035019,0.28031125592948414,0.6024575246189905
