Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
50,40,19.89,46.02666667,19.2,44.5,19.79,44.93333333,18.89,45.73,17.13333333,55.03,6.3,85.76666667,17.13333333,41.26,18.1,48.59,17.0,45.29,6.02,734.0,92.0,5.333333333,43.83333333,4.8,44.91948425,44.91948425
60,40,19.79,45.5975,19.2,44.43333333,19.73,44.79,18.89,45.79,17.16666667,55.0,6.123333333,87.22666667,17.16666667,41.4,18.1,48.59,17.0,45.29,5.93,734.2333333,91.66666667,5.333333333,40.0,4.67,31.45570219,31.45570219
580,60,20.06666667,46.39666667,19.42666667,44.4,19.79,44.82666667,19.0,46.43,17.1,55.0,6.123333333,87.99333333,17.53,44.26333333,18.06666667,48.63333333,16.89,45.29,5.98,734.4333333,91.16666667,5.833333333,40.0,4.62,8.827837626,8.827837626
250,40,20.26,52.72666667,19.73,45.1,19.89,45.49333333,19.0,47.22333333,17.1,55.16333333,6.0675,88.215,17.96333333,46.16,18.03333333,48.66666667,16.89,45.32666667,6.0,734.6166667,90.5,6.0,40.0,4.52,19.20518591,19.20518591
110,40,21.1,46.59666667,20.35666667,44.96333333,20.29,46.63333333,19.39,48.42666667,17.56666667,78.39333333,5.623333333,86.33,17.76,43.63333333,18.96333333,50.03,16.89,45.0,6.0,735.3666667,87.16666667,6.0,40.0,3.93,6.277754798,6.277754798
110,20,21.2,45.8,20.5,44.76,20.39,46.22333333,19.39,47.8,18.35666667,82.59,5.656666667,85.59,17.79,43.4,19.06666667,49.7,16.89,44.9,5.93,735.4666667,87.16666667,6.0,40.0,3.87,19.30570463,19.30570463
100,20,21.39,45.69,20.7,45.06,20.39,46.09,19.42666667,47.99333333,18.66666667,59.03,5.5,86.6,17.89,43.7,19.23,49.4,16.89,44.7,5.73,735.6666667,87.66666667,6.0,40.0,3.77,43.48454229,43.48454229
110,20,21.5,45.12666667,20.79,44.63333333,20.39,46.0,19.66666667,48.09333333,18.96333333,55.33333333,5.59,86.325,17.79,43.4,19.29,49.16333333,16.82333333,44.59,5.6,735.8,88.0,6.0,40.0,3.7,24.10400577,24.10400577
60,20,21.6,44.2,21.0,43.59,20.4175,45.545,21.16666667,46.52666667,19.29,51.23,5.966666667,84.79,17.7,42.76,19.35666667,49.43,16.89,44.5,5.9,736.3,87.0,7.0,40.0,3.8,39.71199304,39.71199304
70,20,21.5,44.23,20.92666667,43.76,20.29,45.79,20.865,46.5675,19.29,50.86333333,5.623333333,86.59333333,17.7,43.4,19.39,50.46333333,16.89,45.43333333,5.6,736.6,89.5,6.5,31.0,3.95,20.56372148,20.56372148
40,10,21.39,44.56,20.79,43.86333333,20.2,45.66333333,20.63333333,46.79,19.2,50.53,5.59,88.63333333,17.7,43.76,19.39,51.16333333,16.89,45.7,5.3,736.9,92.0,6.0,22.0,4.1,39.14663811,39.14663811
50,20,21.26,45.09,20.6,44.03,20.1,45.5,20.5,47.23,19.16666667,50.36333333,5.53,89.19333333,17.79,44.96333333,19.39,51.86,16.89,45.9,5.2,737.2,92.0,6.0,31.0,4.0,39.46781158,39.46781158
50,0,20.7,46.26,20.1,44.59,20.13333333,45.4,21.23,45.9,18.79,50.09,4.156666667,92.56666667,17.89,46.0,19.2,54.96666667,17.0,47.23,5.07,738.5,92.0,4.666666667,40.0,3.87,15.81358536,15.81358536
40,0,20.42666667,46.23,19.79,44.53,20.2,45.4,20.39,46.16333333,18.63333333,50.03,3.895,94.045,17.89,46.2,19.2,55.03,17.0,48.09,4.85,739.25,92.5,5.0,40.0,3.7,16.61973371,16.61973371
50,0,20.1,46.5,19.42666667,44.73,20.29,45.59,19.7,46.66333333,18.4725,49.975,4.8,94.0,17.89,45.59,19.1,54.23,17.1,49.29,4.98,739.9666667,91.66666667,4.833333333,40.0,3.68,16.68874654,16.68874654
