Rings,Sex,Length,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight
15,F,0.4576473782053776,0.3645438189766826,0.09382632932505007,0.5035497566405449,0.22239987067696965,0.10248059673911603,0.1529838848277733
14,F,0.4535811967952911,0.3665147273454638,0.09462380552133769,0.5069968803672423,0.2147743579739072,0.10220950535950013,0.1539770528476006
14,M,0.45451815759915526,0.3642808496806807,0.09570675695405516,0.5195254889953183,0.22096731517976798,0.10391650037993125,0.15740531618751682
14,F,0.45768236122593503,0.36706050970587895,0.09554230593152326,0.5360065162486345,0.2288695636055911,0.09929331271790627,0.1548514192335745
15,F,0.4560964621314229,0.36426584031441805,0.09622732934443086,0.5019464936849253,0.22017225405498136,0.10062279334272105,0.14941017994274666
15,M,0.45360255606316696,0.3630476948506501,0.09505323654316274,0.5115468889976321,0.21816747265097167,0.10351681223862169,0.15354620133372915
15,F,0.45256664006300024,0.3643966878371831,0.09421909592642908,0.5215934206378632,0.2184953063711465,0.107257792267291,0.14413537397766243
16,M,0.5446166116475698,0.4245200499447431,0.12558977990426684,0.7804674381121235,0.29190873651053845,0.1488341739007952,0.2622384556467671
15,F,0.5451418344548435,0.4225677706454199,0.12661566694074416,0.7793995130473121,0.2966509909235728,0.14956504167657872,0.2621978471167744
15,F,0.5436362692037796,0.42478489771334965,0.12455074870253105,0.7764952386394663,0.2953035839707061,0.14613572989378526,0.25779958311286677
15,M,0.5480530407900055,0.424654902293241,0.12585325719750132,0.7631968299362651,0.30080837242582686,0.14626127853327367,0.25777186819436887
15,M,0.5418600850335097,0.4231061232827712,0.12454729949405557,0.7551213534042963,0.295916224817063,0.149412212744863,0.2635664971589338
15,M,0.5461550193516319,0.4237785629116738,0.12643523593899472,0.7752438231892007,0.28471235470124395,0.15373004156731815,0.25907130172280346
16,F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26
14,F,0.5248257525494606,0.3796616125890989,0.13971790387258118,0.6142854644320616,0.1958581254480629,0.1483159934080632,0.20882551636286753
14,F,0.5236395703450021,0.38111882989983553,0.14059406240772193,0.586665164802271,0.18582407526856912,0.14485288551719738,0.2077959803487148
13,M,0.5238332041937913,0.37886305602155285,0.14030164156547617,0.5997762805242839,0.18960133908184074,0.14436219390016936,0.20962620658327966
14,M,0.5237170626472445,0.3792982279214647,0.1405689209128955,0.6141676245365264,0.1792642536240052,0.14519241804238922,0.21004509353837347
13,M,0.5248823254055275,0.38077095852804854,0.1382535457836868,0.5834700398705643,0.19501030433614738,0.14706474648329745,0.2052661726318943
13,M,0.521514001045259,0.3798241520391194,0.1392472565657621,0.5976880319754329,0.19111082571989357,0.1504849840003204,0.2135602136449289
13,M,0.525965466983876,0.38012242942641733,0.1399487734090821,0.6010342915145483,0.20068107514908576,0.14924967624282232,0.20465717062684646
15,M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295
14,M,0.6051345354170564,0.4749237461632846,0.18035379991710904,0.9427328759939311,0.3910588357041216,0.21513797857295508,0.29439652685867834
14,M,0.6060487598965727,0.47326903918963936,0.17999541801628516,0.9377622626763388,0.38763278809938617,0.2209902386518713,0.29250624054321944
14,M,0.6034812471066282,0.4720726859018897,0.17944379270077865,0.951081434084457,0.38936824855643287,0.22195858050830558,0.29547666702848674
15,F,0.6044814409055032,0.47373358973982893,0.17866845417442237,0.9289430139910702,0.39411276028956255,0.22228822995222336,0.29805005949832686
15,F,0.6039851214365969,0.4755729010962512,0.1807192451350165,0.927201495026818,0.39318433488787374,0.21727078132963604,0.29801788023418485
15,M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295
15,M,0.6798323577162868,0.5585114743753892,0.16479395194839222,1.6222150335212302,0.6044163637813864,0.27937425124994714,0.4595988805071672
15,M,0.6810615210536547,0.5625888966520514,0.16433053032517916,1.6335916567685818,0.6058133965371675,0.2764805406994045,0.4620028370082437
15,M,0.6798977503521509,0.5609828164841772,0.16616358409133483,1.652455931821968,0.6015563356398972,0.28243392270342066,0.463858809320048
