heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
50.19,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,18.5,1000
31.75,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,5.0,3000
64.86,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,20.0,100
67.8,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,5.0,5000
41.07,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,12.0,2000
25.71,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,2.0,3000
23.59,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,1.0,4500
8.23,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,3.0,1500
60.45,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,10.0,3500
54.42,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,4.0,3500
5.98,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,1.5,3000
24.54,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,4.0,2500
99.5,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,10.5,4000
33.2,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,16.0,100
33.21,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,14.0,1500
36.44,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,3.0,4500
94.79,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,17.0,4500
24.45,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,7.5,1500
60.62,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,15.5,3000
3.72,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,2.0,100
45.38,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,4.5,4500
11.46,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,7.0,100
54.3,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,1.5,4000
28.66,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,5.0,2500
49.88,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,8.0,2500
48.02,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,7.5,2500
53.0,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,6.5,3500
58.57,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,9.5,3000
15.9,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,7.0,3500
40.85,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,12.5,1500
3.2,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,2.0,3000
70.07,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,8.5,3500
24.28,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,2.5,4200
8.3,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,1.0,2000
29.58,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,10.5,2000
8.71,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,1.0,2500
2.44,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,2.0,100
73.08,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,16.0,3000
14.66,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,2.0,3500
56.08,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,8.0,4500
94.49,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,17.5,4000
42.9,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,16.5,100
56.22,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,7.0,3000
93.74,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,12.0,5000
2.2,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,0.5,1000
61.47,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,16.5,3500
65.42,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,9.5,4500
91.73,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,17.0,4000
99.72,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,12.0,3500
92.37,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,10.0,5000
19.27,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,4.0,3000
14.4,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,6.5,1000
191.12,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,17.5,5000
23.48,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,4.5,2500
18.24,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,5.5,1500
48.01,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,9.0,3000
11.86,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,14.5,100
-0.34,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,0.0,1000
44.69,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,7.0,4000
3.89,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,7.0,1000
26.95,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,11.5,1500
25.5,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,12.5,100
43.77,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,14.5,100
18.3,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,0.0,3500
31.41,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,12.0,1500
55.35,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,4.0,4500
11.71,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,5.5,1000
9.29,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,1.0,3000
12.51,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,6.5,100
-1.94,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,1.5,100
55.5,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,12.0,3500
98.58,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,8.5,5000
18.08,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,5.0,1500
10.26,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,4.0,1000
35.82,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,15.0,1500
46.82,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,3.5,4500
63.56,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,11.5,2500
49.51,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,14.5,2000
82.05,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,11.5,3000
14.61,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,5.0,2000
23.7,nominal4,nominal13,nominal24,3226,88.4,88.0,6,105,130,1.5,3000
29.05,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,7.0,2000
11.47,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,7.5,1000
69.88,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,17.5,1500
110.15,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,13.5,5000
50.64,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,12.5,1500
38.13,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,10.0,1500
12.56,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,10.5,2000
10.08,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,2.5,1500
16.55,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,2.0,2500
46.24,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,17.0,3000
6.08,nominal4,nominal18,nominal24,4664,89.4,81.5,10,105,130,1.5,1000
21.15,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,4.0,3500
7.86,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,1.5,2000
1.64,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,0.0,3000
28.61,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,4.5,3500
116.26,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,10.0,5000
