heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
-7.78,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,0.0,100
-7.78,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,0.0,100
-5.09,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,0.0,100
-5.09,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,0.0,100
-4.16,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,0.5,100
-2.85,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,1.0,100
-2.85,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,1.0,100
-1.94,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,1.5,100
-1.94,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,1.5,100
-0.9,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,0.5,100
-0.56,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,0.0,1000
-0.34,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,0.0,1000
-0.25,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,0.0,100
-0.15,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,0.0,100
-0.09,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,1.0,1000
0.19,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,0.0,100
0.2,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,1.0,100
0.24,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,0.0,100
0.24,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,0.0,100
0.46,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,0.0,1000
0.53,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,1.0,2000
0.53,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,1.0,2000
0.64,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,3.0,100
0.7,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,0.0,1500
0.71,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,0.5,100
0.72,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,0.0,100
0.72,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,0.0,100
0.76,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,1.0,100
0.77,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,0.5,100
0.87,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,0.0,1000
1.03,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,1.0,1000
1.05,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,1.0,1000
1.13,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,0.5,1500
1.23,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,1.0,100
1.34,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,0.0,1500
1.44,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,1.0,100
1.48,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,0.5,1000
1.52,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,0.0,2000
1.58,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,0.0,700
1.58,nominal4,nominal12,nominal24,2686,88.34,88.0,4,105,130,1.0,1000
1.63,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,0.0,1500
1.64,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,0.0,3000
1.71,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,3.0,100
1.78,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,1.0,100
1.78,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,1.0,100
1.79,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,0.0,1500
1.79,nominal4,nominal20,nominal23,1689,84.0,80.0,4,105,140,1.0,1000
1.79,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,1.0,1000
1.81,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,1.5,100
1.81,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,4.0,1000
1.81,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,4.0,1000
1.88,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,1.0,1000
1.9,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,3.0,2000
1.92,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,1.0,100
1.92,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,1.0,100
1.94,nominal4,nominal14,nominal24,3996,86.0,86.0,8,105,9999,2.5,100
1.94,nominal4,nominal20,nominal22,1689,84.0,80.0,4,105,140,1.0,100
1.94,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,1.0,100
1.97,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,0.5,100
1.97,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,0.5,100
1.97,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,0.0,1000
1.97,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,0.0,1000
1.97,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,0.0,1000
1.98,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,0.5,2000
1.99,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,0.5,1000
1.99,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,0.5,1000
2.02,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,1.5,1500
2.03,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,2.0,2500
2.04,nominal3,nominal5,nominal21,2299,92.4,89.0,4,105,130,1.5,100
2.2,nominal4,nominal17,nominal24,3731,89.4,81.5,8,105,130,0.5,1000
2.21,nominal4,nominal14,nominal22,3996,86.0,86.0,8,105,130,0.0,1500
2.21,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,2.0,1000
2.37,nominal3,nominal10,nominal21,2996,84.0,87.0,6,105,130,0.0,1000
2.37,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,0.0,100
2.38,nominal4,nominal16,nominal24,2798,89.4,81.5,6,105,130,0.5,1500
2.4,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,3.0,100
2.54,nominal3,nominal9,nominal21,2497,84.0,87.0,5,105,130,0.5,1000
2.55,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,2.0,100
2.67,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,0.5,1500
2.75,nominal4,nominal6,nominal22,2874,92.4,89.0,5,105,130,1.5,100
2.76,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,4.0,100
2.76,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,4.0,100
2.78,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,3.0,1000
2.78,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,3.0,1000
2.78,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,0.0,2000
2.78,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,0.0,2000
2.81,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,3.0,2500
2.81,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,3.0,2500
2.81,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,3.0,2500
2.81,nominal4,nominal19,nominal22,799,79.0,65.5,3,105,130,3.0,2500
2.84,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,1.5,100
2.84,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,1.5,100
2.84,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,1.5,100
2.92,nominal4,nominal20,nominal24,1858,92.4,80.0,4,105,140,0.0,2000
3.05,nominal3,nominal6,nominal21,2874,92.4,89.0,5,105,130,0.5,1000
3.11,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,0.0,1500
3.11,nominal3,nominal8,nominal21,2155,86.6,89.0,4,105,130,2.5,100
3.13,nominal4,nominal20,nominal22,1689,84.0,80.0,4,105,140,2.0,1000
3.13,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,2.0,1000
3.22,nominal3,nominal6,nominal23,2497,84.0,87.0,5,105,130,1.0,100
3.22,nominal4,nominal20,nominal22,1267,84.0,80.0,3,105,130,0.5,2500
3.24,nominal3,nominal5,nominal21,1997,84.0,87.0,4,105,130,0.0,1500
3.25,nominal4,nominal11,nominal24,2151,88.4,88.0,4,105,130,2.5,1000
3.27,nominal4,nominal15,nominal24,1866,89.4,81.5,4,105,130,1.0,1500
3.3,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,2.0,100
3.3,nominal4,nominal20,nominal24,1689,84.0,80.0,4,105,140,2.0,100
3.33,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,0.0,1000
3.33,nominal3,nominal10,nominal22,2996,84.0,87.0,6,105,130,0.0,1000
3.39,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,0.5,1000
3.39,nominal3,nominal7,nominal21,2996,84.0,87.0,6,105,130,0.5,1000
