HousValue,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
14.4,1.629,0.0,21.89,0,0.624,5.019,100.0,1.439,4,437,21.2,396.898,34.41
27.5,0.149,0.0,8.56,0,0.52,6.727,79.9,2.778,5,384,20.9,394.76,9.42
7.2,16.812,0.0,18.1,0,0.7,5.277,98.1,1.426,24,666,20.2,396.898,30.81
19.9,0.627,0.0,8.14,0,0.538,5.834,56.5,4.499,4,307,21.0,395.619,8.47
22.9,0.042,28.0,15.04,0,0.464,6.442,53.6,3.666,4,270,18.2,395.01,8.16
20.6,0.043,28.0,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.898,10.59
19.4,0.262,0.0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,396.299,11.72
22.9,0.036,25.0,4.86,0,0.426,6.167,46.7,5.401,4,281,19.0,390.639,7.51
9.6,14.421,0.0,18.1,0,0.74,6.461,93.3,2.003,24,666,20.2,27.49,18.05
22.6,0.084,0.0,4.05,0,0.51,5.859,68.7,2.702,5,296,16.6,393.229,9.64
50.0,1.463,0.0,19.58,0,0.605,7.489,90.8,1.971,5,403,14.7,374.43,1.73
18.9,0.117,12.5,7.87,0,0.524,6.009,82.9,6.227,5,311,15.2,396.898,13.27
50.0,0.02,95.0,2.68,0,0.416,8.034,31.9,5.118,4,224,14.7,390.549,2.88
18.3,0.171,0.0,10.01,0,0.547,5.928,88.2,2.463,6,432,17.8,344.908,15.76
17.8,0.318,0.0,9.9,0,0.544,5.914,83.2,3.999,4,304,18.4,390.699,18.33
23.5,0.036,80.0,3.37,0,0.398,6.29,17.8,6.611,4,337,16.1,396.898,4.67
34.9,0.031,95.0,1.47,0,0.403,6.975,15.3,7.653,3,402,17.0,396.898,4.56
18.4,0.33,0.0,21.89,0,0.624,5.822,95.4,2.47,4,437,21.2,388.689,15.03
24.3,0.34,22.0,5.86,0,0.431,6.108,34.9,8.055,7,330,19.1,390.18,9.16
22.7,2.242,0.0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,395.109,11.64
13.5,8.201,0.0,18.1,0,0.713,5.936,80.3,2.779,24,666,20.2,3.5,16.94
21.9,3.474,0.0,18.1,1,0.718,8.78,82.9,1.905,24,666,20.2,354.549,5.29
30.7,0.786,20.0,3.97,0,0.647,7.014,84.6,2.133,5,264,13.0,384.068,14.79
