rej,a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql
0.014054,0.124891,0.264893,0.02074,-0.012756,0.168714,2.559247,0.551531,8
0.19462,0.283293,0.055617,-0.138363,-0.143812,0.338656,6.531517,0.343759,8
0.188485,0.331066,-0.296442,0.225215,-0.399487,1.277463,5.485577,0.800689,5
0.016591,-0.123332,0.276133,-0.080752,-0.070178,0.125105,0.962858,0.283948,5
0.150936,0.42964,-0.391899,-0.396522,0.482007,0.773983,2.716745,0.568916,5
0.017957,-0.057695,0.146906,-0.152707,0.037768,1.98271,0.545098,0.215835,6
0.060195,0.165741,0.32386,0.202975,0.08076,0.439157,3.758756,0.787557,5
0.445356,0.122236,-0.093647,-0.248002,0.256822,12.649903,1.805576,0.407045,7
0.171656,0.486508,-0.151362,0.352014,-0.471989,1.376292,4.051243,0.559752,8
0.112322,-0.2865,-0.480814,-0.064233,0.405344,1.716453,3.249487,0.816393,6
0.462615,0.449966,-0.154137,0.111797,-0.11527,1.295782,11.626436,0.530078,8
0.028332,0.306338,0.475122,0.36631,-0.455113,2.325481,0.118907,0.629994,8
0.213472,-0.22535,-0.095757,-0.415685,0.336024,3.64874,3.890062,0.716694,6
0.167499,0.446718,0.371972,-0.428168,0.211856,2.599864,1.794563,0.284003,6
0.0,0.173306,-0.058579,0.403074,-0.446252,0.070669,0.027217,0.566027,6
0.685778,-0.364999,-0.311554,-0.497234,0.125994,18.012384,7.117516,0.380082,7
0.006361,0.330946,0.299391,-0.222043,-0.006139,1.137777,0.547241,0.705356,8
0.154732,0.247007,0.267754,-0.169522,0.031065,1.318436,4.342648,0.932171,5
0.036933,0.237002,-0.461247,0.10854,0.056994,1.177251,1.434159,0.484478,5
0.001874,-0.265701,-0.059278,-0.496972,-0.211412,0.656005,0.032506,0.409846,5
0.387355,-0.489164,-0.098958,0.245992,-0.177048,5.342269,6.593581,0.267885,8
0.097545,-0.207983,0.429736,0.097499,-0.010628,2.368577,3.391895,0.709641,8
0.111423,-0.072812,-0.418145,0.354068,0.334808,2.505207,2.425564,0.423808,5
0.134621,-0.137254,0.252171,-0.24464,0.475581,0.583773,5.410769,0.867644,7
0.002494,0.256756,0.487948,-0.491997,-0.175118,0.644834,0.439259,0.494568,6
